,lga_code,population
0,10110,24105
1,10150,41214
2,10200,73738
3,10250,39274
4,10300,2283
5,10350,182352
6,10470,38519
7,10550,31950
8,10600,12518
9,10650,8066
10,10750,301099
11,10800,5865
12,10850,6985
13,10900,75942
14,10950,2900
15,11000,2409
16,11050,2399
17,11100,39356
18,11150,2868
19,11200,1766
20,11250,18517
21,11300,32423
22,11350,29209
23,11400,12821
24,11450,56720
25,11500,145967
26,11520,75763
27,11550,137454
28,11600,2587
29,11700,1991
30,11720,50840
31,11730,49665
32,11750,4710
33,11800,68413
34,11860,1540
35,12000,4099
36,12050,9772
37,12150,4030
38,12200,7334
39,12300,11000
40,12350,12147
41,12500,7120
42,12600,38805
43,12700,8318
44,12750,35741
45,12850,187766
46,12900,9170
47,12950,4368
48,13010,8656
49,13050,4877
50,13100,162440
51,13310,27481
52,13320,34430
53,13340,9815
54,13380,46541
55,13450,24364
56,13500,3662
57,13550,12066
58,13650,4397
59,13660,4965
60,13700,3584
61,13800,62353
62,13850,2956
63,13950,99163
64,14000,156847
65,14100,13215
66,14150,78855
67,14200,16075
68,14250,1496
69,14300,5878
70,14350,28134
71,14400,19986
72,14450,55806
73,14500,109297
74,14550,9228
75,14600,6476
76,14650,189006
77,14700,31510
78,14750,11037
79,14800,52198
80,14850,42766
81,14870,20160
82,14900,180143
83,14920,7480
84,14950,2998
85,15050,67478
86,15150,39747
87,15200,76500
88,15270,22318
89,15300,13429
90,15350,27453
91,15500,6957
92,15550,2261
93,15650,15791
94,15700,18644
95,15750,12925
96,15800,5902
97,15850,6585
98,15900,148535
99,15950,62289
100,16100,5040
101,16150,38057
102,16180,14352
103,16200,14592
104,16250,166858
105,16350,178467
106,16370,57155
107,16380,72696
108,16400,64807
109,16470,37991
110,16550,128989
111,16610,22037
112,16650,97340
113,16700,103038
114,16900,63605
115,16950,92812
116,17000,22694
117,17050,7508
118,17100,35188
119,17150,210863
120,17200,169505
121,17310,56292
122,17350,5776
123,17400,6811
124,17420,169872
125,17450,3358
126,17500,10934
127,17550,85105
128,17620,13754
129,17640,7193
130,17650,6034
131,17700,1159
132,17750,59458
133,17800,3962
134,17850,3021
135,17900,6454
136,17950,2758
137,18000,140741
138,18020,9588
139,18050,63487
140,18100,3665
141,18150,8493
142,18200,6609
143,18250,67356
144,18350,44395
145,18400,43259
146,18450,192418
147,18500,52158
148,18550,149746
149,18710,15020
150,18750,12236
151,19399,1169
152,19499,12918
153,20110,11881
154,20260,11183
155,20570,93501
156,20660,118306
157,20740,29614
158,20830,42864
159,20910,91814
160,21010,13647
161,21110,159184
162,21180,182735
163,21270,6384
164,21370,36365
165,21450,74176
166,21610,252382
167,21670,12496
168,21750,20345
169,21830,16376
170,21890,136474
171,22110,42196
172,22170,126458
173,22250,10366
174,22310,131013
175,22410,19575
176,22490,18770
177,22620,100617
178,22670,135605
179,22750,210875
180,22830,60449
181,22910,14367
182,22980,5798
183,23110,83863
184,23190,19279
185,23270,167562
186,23350,15178
187,23430,142425
188,23670,149300
189,23810,72396
190,23940,7459
191,24130,41860
192,24210,111300
193,24250,7893
194,24330,71635
195,24410,103839
196,24600,93625
197,24650,109259
198,24780,50979
199,24850,34637
200,24900,28124
201,24970,169280
202,25060,107443
203,25150,28124
204,25250,147241
205,25340,144608
206,25430,17591
207,25490,15955
208,25620,13058
209,25710,60342
210,25810,11845
211,25900,91372
212,25990,6669
213,26080,3000
214,26170,27208
215,26260,16359
216,26350,93145
217,26430,9486
218,26490,25870
219,26610,20449
220,26670,5891
221,26700,26815
222,26730,32029
223,26810,41440
224,26890,4251
225,26980,151334
226,27070,154880
227,27170,35519
228,27260,161575
229,27350,74090
230,27450,144541
231,27630,7088
232,29399,804
233,29499,8308
234,30250,1294
235,30300,4720
236,30370,14456
237,30410,3215
238,30450,350
239,30760,2200
240,30900,480
241,31000,1041839
242,31750,403
243,31820,89810
244,31900,17364
245,31950,514
246,32070,156169
247,32250,2053
248,32260,27668
249,32270,28715
250,32310,12169
251,32330,1225
252,32450,3229
253,32500,4152
254,32600,312
255,32750,283
256,32770,1289
257,33100,893
258,33200,1791
259,33220,95312
260,33360,57891
261,33430,494501
262,33610,10628
263,33620,45749
264,33800,11568
265,33830,984
266,33960,166904
267,33980,22588
268,34420,1031
269,34570,483
270,34580,34954
271,34590,278050
272,34710,4189
273,34770,112798
274,34800,1050
275,34830,266
276,34860,13076
277,35010,378045
278,35250,1142
279,35300,21237
280,35600,4619
281,35670,855
282,35760,10143
283,35780,2298
284,35790,2336
285,35800,1857
286,36070,662
287,36150,976
288,36250,138666
289,36300,827
290,36360,109336
291,36510,36456
292,36580,21639
293,36630,31028
294,36660,33883
295,36710,306909
296,36810,43727
297,36910,151189
298,36950,3256
299,36960,4248
300,37010,174462
301,37300,3334
302,37310,31590
303,37340,31426
304,37400,1336
305,37550,945
306,37570,270
307,37600,2409
308,39399,471
309,39499,12545
310,40070,19639
311,40120,38628
312,40220,23699
313,40250,2439
314,40310,22169
315,40430,2456
316,40520,10583
317,40700,42192
318,40910,48162
319,41010,3480
320,41060,104981
321,41140,8749
322,41190,1733
323,41330,1695
324,41560,12949
325,41750,1046
326,41830,1702
327,41960,1273
328,42030,20536
329,42110,4162
330,42250,7855
331,42600,34605
332,42750,4417
333,43080,1033
334,43220,1088
335,43360,2279
336,43650,13783
337,43710,4916
338,43790,11287
339,43920,8343
340,44000,73
341,44060,82991
342,44210,8136
343,44340,62898
344,44550,29767
345,44620,25247
346,44830,2873
347,45040,19742
348,45090,8116
349,45120,4504
350,45290,34887
351,45340,159576
352,45400,875
353,45540,1731
354,45680,79115
355,45890,112815
356,46090,13985
357,46300,14086
358,46450,17333
359,46510,19955
360,46670,9245
361,46860,1398
362,46970,4702
363,47140,129109
364,47290,2100
365,47490,2102
366,47630,6556
367,47700,95467
368,47800,5525
369,47910,2586
370,47980,36840
371,48050,13841
372,48130,6662
373,48260,7000
374,48340,11624
375,48410,54962
376,48540,22088
377,48640,1253
378,48750,4397
379,48830,11024
380,49399,4437
381,49499,3067
382,50080,33650
383,50210,62296
384,50250,10001
385,50280,11761
386,50350,14404
387,50420,61262
388,50490,35209
389,50560,1567
390,50630,2226
391,50770,1588
392,50840,4319
393,50910,934
394,50980,14997
395,51080,1139
396,51120,974
397,51190,31348
398,51260,30330
399,51310,24965
400,51330,85514
401,51400,14638
402,51470,546
403,51540,5787
404,51610,1174
405,51680,4427
406,51750,9280
407,51820,89683
408,51890,9127
409,51960,3999
410,52030,1067
411,52100,1063
412,52170,7605
413,52240,1079
414,52310,870
415,52380,272
416,52450,1310
417,52520,1266
418,52590,3185
419,52660,12405
420,52730,5194
421,52800,8435
422,52870,5320
423,52940,678
424,53010,605
425,53080,1141
426,53150,6930
427,53220,11950
428,53290,13477
429,53360,2393
430,53430,26582
431,53520,36446
432,53570,4685
433,53640,1271
434,53710,985
435,53780,106585
436,53920,3560
437,53990,23237
438,54060,3567
439,54130,1055
440,54170,152406
441,54200,53567
442,54280,31107
443,54340,4183
444,54410,1181
445,54480,512
446,54550,1982
447,54620,1045
448,54690,437
449,54760,826
450,54830,29227
451,54900,1360
452,54970,1227
453,55040,2513
454,55110,69903
455,55180,9183
456,55250,1377
457,55320,95700
458,55390,384
459,55460,3282
460,55530,480
461,55600,2476
462,55670,894
463,55740,8598
464,55810,643
465,55880,486
466,55950,490
467,56020,715
468,56090,36529
469,56160,114
470,56230,14149
471,56300,1262
472,56370,812
473,56450,875
474,56520,4219
475,56580,20534
476,56620,1437
477,56730,10557
478,56790,3192
479,56860,230
480,56930,1528
481,57000,904
482,57080,16714
483,57140,1163
484,57210,4882
485,57280,15044
486,57350,1043
487,57420,2126
488,57490,104105
489,57560,22900
490,57630,105
491,57700,17746
492,57770,857
493,57840,40739
494,57910,195702
495,57980,17574
496,58050,108461
497,58190,404
498,58260,616
499,58330,4387
500,58400,348
501,58470,251
502,58510,32433
503,58540,895
504,58570,31549
505,58610,1847
506,58680,438
507,58760,152077
508,58820,3582
509,58890,868
510,59030,277
511,59100,750
512,59170,914
513,59250,1159
514,59310,1434
515,59320,419
516,59330,523
517,59340,7799
518,59350,406
519,59360,1636
520,59370,3396
521,59399,416
522,59499,7297
523,60210,6194
524,60410,15460
525,60610,19329
526,60810,21355
527,61010,2262
528,61210,7977
529,61410,51852
530,61510,9704
531,61610,24615
532,61810,6827
533,62010,776
534,62210,6636
535,62410,4190
536,62610,44656
537,62810,48703
538,63010,15140
539,63210,6086
540,63410,1566
541,63610,33893
542,63810,9833
543,64010,64193
544,64210,18888
545,64610,12228
546,64810,13194
547,65010,6049
548,65210,2355
549,65410,13708
550,65610,4678
551,65810,21817
552,69399,115
553,69499,1072
554,70200,25186
555,70420,6823
556,70540,181
557,70620,3720
558,70700,1106
559,71000,72930
560,71300,9098
561,72200,9187
562,72300,18994
563,72330,5831
564,72800,27703
565,73600,6121
566,74050,2580
567,74500,5924
568,74560,369
569,74660,6232
570,79399,8089
571,79499,1869
572,89399,356586
573,89499,632
574,99399,3004
575,99499,25
