,latitude,longitude,state,report_date,coords,index_right,lga_code,lga_name,population
0,-37.6765,145.8943,VIC,2023-03-04,POINT (145.8943 -37.6765),275,27450,Yarra Ranges (S),144541
19,-37.896107,145.42506,VIC,2022-12-11,POINT (145.42506 -37.896107),275,27450,Yarra Ranges (S),144541
28,-37.817253,145.30528,VIC,2022-11-08,POINT (145.30528 -37.817253),275,27450,Yarra Ranges (S),144541
106,-37.818157,145.35585,VIC,2022-12-12,POINT (145.35585 -37.818157),275,27450,Yarra Ranges (S),144541
139,-37.63624,145.4923,VIC,2022-12-11,POINT (145.4923 -37.63624),275,27450,Yarra Ranges (S),144541
158,-37.787766,145.3294,VIC,2023-01-17,POINT (145.3294 -37.787766),275,27450,Yarra Ranges (S),144541
159,-37.705727,145.82602,VIC,2022-11-13,POINT (145.82602 -37.705727),275,27450,Yarra Ranges (S),144541
239,-37.904358,145.42403,VIC,2022-12-11,POINT (145.42403 -37.904358),275,27450,Yarra Ranges (S),144541
322,-37.949566,145.32906,VIC,2022-12-12,POINT (145.32906 -37.949566),275,27450,Yarra Ranges (S),144541
360,-37.716564,145.34254,VIC,2022-12-11,POINT (145.34254 -37.716564),275,27450,Yarra Ranges (S),144541
395,-37.757065,145.42172,VIC,2023-02-24,POINT (145.42172 -37.757065),275,27450,Yarra Ranges (S),144541
404,-37.966175,145.30396,VIC,2023-03-04,POINT (145.30396 -37.966175),275,27450,Yarra Ranges (S),144541
427,-37.80645,145.30801,VIC,2022-11-13,POINT (145.30801 -37.80645),275,27450,Yarra Ranges (S),144541
431,-37.785053,145.311,VIC,2022-12-07,POINT (145.311 -37.785053),275,27450,Yarra Ranges (S),144541
444,-37.6765,145.8943,VIC,2023-02-27,POINT (145.8943 -37.6765),275,27450,Yarra Ranges (S),144541
486,-37.80645,145.30801,VIC,2022-11-08,POINT (145.30801 -37.80645),275,27450,Yarra Ranges (S),144541
549,-37.785667,145.52658,VIC,2022-12-11,POINT (145.52658 -37.785667),275,27450,Yarra Ranges (S),144541
579,-37.894802,145.43892,VIC,2022-12-11,POINT (145.43892 -37.894802),275,27450,Yarra Ranges (S),144541
591,-37.818214,145.35208,VIC,2022-12-12,POINT (145.35208 -37.818214),275,27450,Yarra Ranges (S),144541
594,-37.912926,145.3548,VIC,2022-12-17,POINT (145.3548 -37.912926),275,27450,Yarra Ranges (S),144541
629,-37.908993,145.44264,VIC,2022-12-11,POINT (145.44264 -37.908993),275,27450,Yarra Ranges (S),144541
658,-37.90046,145.41759,VIC,2022-12-11,POINT (145.41759 -37.90046),275,27450,Yarra Ranges (S),144541
1,-38.134556,145.33496,VIC,2022-12-12,POINT (145.33496 -38.134556),24,21610,Casey (C),252382
79,-38.042896,145.34126,VIC,2022-11-23,POINT (145.34126 -38.042896),24,21610,Casey (C),252382
86,-38.080025,145.25832,VIC,2022-12-18,POINT (145.25832 -38.080025),24,21610,Casey (C),252382
95,-38.025173,145.25926,VIC,2023-02-23,POINT (145.25926 -38.025173),24,21610,Casey (C),252382
216,-38.02823,145.25499,VIC,2022-12-17,POINT (145.25499 -38.02823),24,21610,Casey (C),252382
233,-38.07989,145.32802,VIC,2023-01-16,POINT (145.32802 -38.07989),24,21610,Casey (C),252382
256,-38.038387,145.36298,VIC,2023-01-17,POINT (145.36298 -38.038387),24,21610,Casey (C),252382
268,-38.053722,145.3161,VIC,2022-12-05,POINT (145.3161 -38.053722),24,21610,Casey (C),252382
330,-38.08917,145.3436,VIC,2022-12-07,POINT (145.3436 -38.08917),24,21610,Casey (C),252382
333,-38.006615,145.27245,VIC,2023-01-17,POINT (145.27245 -38.006615),24,21610,Casey (C),252382
375,-38.13246,145.32639,VIC,2022-11-23,POINT (145.32639 -38.13246),24,21610,Casey (C),252382
400,-38.031006,145.26114,VIC,2023-02-23,POINT (145.26114 -38.031006),24,21610,Casey (C),252382
407,-38.041885,145.2797,VIC,2022-12-12,POINT (145.2797 -38.041885),24,21610,Casey (C),252382
552,-38.10069,145.30962,VIC,2023-02-23,POINT (145.30962 -38.10069),24,21610,Casey (C),252382
